id	CK_1	CK_2	CK_3	Cra20_1	Cra20_2	Cra20_3	KT2440_1	KT2440_2	KT2440_3
LOC101248335	2.242659284	5.25917309	4.61082777	0.451357249	0	0.088709827	0.277796886	1.611908703	0.093840098
LOC101248337	0	0	0	0.030783405	0.031997302	0	0	0	0.032000347
LOC101248338	0	0.107573995	0.242068458	0.135407175	0.281493506	0.033266185	0.312521497	0.159069938	0.175950183
LOC101248339	0	0	0	0	0	0	0	0	0
LOC101248340	0	0	0	0.015825927	0.032899997	0	0.016233974	0.01487324	0
LOC101248341	6.049231872	6.735577063	8.879503864	10.85067856	9.459436384	7.853908433	8.49743791	7.017628037	7.580397876
LOC101248342	0	0	0	0.016763322	0	0	0.017195538	0	0
LOC101248343	0.220483496	0.302707677	0.458745905	0.204122577	0.636515531	0.160473137	0.041877113	0.153467865	0
LOC101248344	26.65707127	23.91375987	25.7818733	20.28628981	26.8974202	16.92673704	23.67676989	19.59051432	20.81150699
LOC101248345	0	0	0	0	0	0	0	0	0
LOC101248346	17.48576145	26.58818197	22.25272148	17.11706832	23.17104732	16.21244678	19.21443132	19.97322676	16.98912048
LOC101248347	23.52698103	15.45637391	16.75118407	18.77076235	15.49832794	20.46466691	19.14574889	19.23845987	19.2550994
LOC101248348	1.937898453	3.085835727	2.268261329	1.598700485	2.234120925	1.571044257	2.077232698	2.487409492	1.588038704
LOC101248349	23.4276251	26.25463424	24.97744526	21.44789557	25.40084012	17.77043119	22.86718233	23.53303805	21.2785375
LOC101248350	13.27324556	16.16573583	12.95802601	14.93095475	12.91022164	12.85480944	15.51923553	13.90796471	13.49521256
LOC101248351	0.430887746	1.109207415	0.662202693	12.46605736	2.280544217	3.626119768	4.091992233	3.514688149	2.125254787
LOC101248352	19.15486192	18.13893019	18.67586496	20.68906055	20.80813105	18.05550422	20.37859759	23.82488122	22.01374012
LOC101248353	0.108453568	0	0.102569273	0.07530435	0.104365151	0.123336075	0	0.023590396	0.026093771
LOC101248354	57.68980771	51.27710356	53.4014508	54.25209702	56.45188795	55.11355566	52.57907049	60.85013259	61.05121257
LOC101248356	17.55337787	20.56781692	19.91340087	15.14455668	23.27559908	17.99403695	16.66983721	21.22385091	18.40018006
LOC101248357	1.901837117	1.590785826	2.28798908	1.903122311	1.480262577	4.185685334	1.91235079	1.618219493	2.624351552
LOC101248358	9.908705206	5.291484598	8.883983644	10.14981254	9.157542276	11.00065969	9.736042958	11.26732554	11.4716213
LOC101248359	6.024232216	6.48645206	5.929925454	12.56578582	8.991473742	10.29033988	8.429726391	9.391857984	9.039657426
LOC101248360	1.08487279	0.472841527	2.052023101	2.566723568	3.131927752	1.644992166	2.289480557	1.992697082	0.812058538
LOC101248361	0.169238953	0.62698341	0.693578881	0.191498537	0.199049994	0.34215594	0.357156429	0.163609756	0.579109631
LOC101248362	0.319213641	0.500865061	0	0.413737068	0.061436024	0	0.485033886	0	0.06144187
LOC101248363	0.046642488	0	0	0	0	0	0	0	0
LOC101248365	0	0	0.1974853	0	0	0	0	0	0
LOC101248367	0.575822716	0.564687411	0	1.523125553	0.158318772	0.074838836	0.46871911	0.286287326	0.633335351
LOC101248369	1.984845391	0.952524103	0.918607728	1.915754527	1.625550554	1.306303258	1.122942486	0.698125985	2.235344708
LOC101248370	4.329794345	1.292280484	3.64978034	5.925613283	3.623106435	3.725074493	3.128586295	3.808147548	4.031089474
LOC101248371	9.205329129	1.728634933	3.426783167	8.023607826	2.732883566	8.642103624	8.276984289	6.092126125	6.220257915
LOC101248372	57.90346181	57.40930354	65.62138084	70.09764105	69.13138574	64.0188607	68.82935092	64.1701241	76.78847677
LOC101248373	14.59692759	14.77756268	13.87363291	12.87505609	26.20645806	10.37292688	17.00015874	17.84987689	11.67171991
LOC101248374	6.873071889	5.89100589	10.13411409	8.567581238	12.78528242	5.539058549	7.991866409	11.96002972	7.2916899
LOC101248375	1.029841663	1.044161302	0.940950408	0.985741943	1.058207071	1.222771869	0.779088799	1.108645459	0.604747297
LOC101248376	9.827103417	15.47599443	15.58098461	13.64682872	17.1888471	12.41151727	14.82214393	13.52945373	12.0722808
LOC101248377	12.13703331	10.64503842	11.88269549	12.66074138	12.41974876	16.25199775	12.66249989	15.24507051	12.83221973
LOC101248378	39.94630418	28.23958853	47.99173822	98.91695561	33.962756	61.50241947	52.69300218	40.10291006	48.83666919
LOC101248379	2.623171384	4.55908444	3.561613001	3.462443853	2.949164268	2.953599277	3.30507065	3.186220163	2.999435504
LOC101248380	1.293702358	1.192257856	1.474109384	1.269854331	2.414870338	1.020998353	1.96869562	1.559572233	1.350055978
LOC101248382	127.3217615	99.19636014	97.33918856	199.6454088	89.69508519	134.8407344	153.1456863	130.884244	154.0234829
LOC101248383	0.066730403	0	0.021036618	0.041185794	0.042809894	0.020236657	0.021123854	0	0.064220952
LOC101248384	7.596808216	9.436540698	9.710140523	6.351092559	7.753484642	6.576323045	8.657311926	7.330771537	6.646476401
LOC101248386	2.740117182	2.061358914	1.561968912	2.050280318	2.16725089	2.834396715	2.423962213	1.143051234	1.878462844
LOC101248387	0	0	0	0	0	0	0	0	0
LOC101248389	15.06911151	10.18606017	12.57187349	14.15021083	8.700627207	15.52119465	12.47067895	13.76665163	11.13579083
LOC101248391	3.810251906	3.944156125	5.365243184	6.663080439	6.722128152	5.584900622	6.030774579	4.935911392	6.600535691
LOC101248393	0	0	0	0	0	0	0	0	0
LOC101248395	12.17314627	13.24775588	12.82942694	11.67046922	17.87011619	13.9848201	14.04403045	14.43838179	11.67915074
LOC101248396	0	0	0	0	0	0	0	0	0
LOC101248398	0.553245816	0.36169807	0.465092192	5.065013304	1.064779785	2.51665921	0.934041705	0.962718928	1.124041172
LOC101248399	4.641969038	5.078903372	5.079469281	4.759229224	4.946902277	5.793769656	4.335453048	4.372597896	4.024355672
LOC101248400	3.29966832	3.332451887	4.494653648	3.328383035	3.459632819	2.777943713	2.993271532	3.17087105	3.057089748
LOC101248401	3.643180103	5.109831914	5.448720517	3.725810401	3.668904129	4.008222276	5.431085197	3.538382676	3.057711053
LOC101248402	0	0	0.152362546	0.111861595	0	0.512990237	0.152994368	0	0
LOC101248403	1.958457794	1.419562815	2.415911765	3.547430124	3.933138881	3.098722173	3.477166549	2.815278437	2.212601153
LOC101248404	110.5704524	52.98703549	90.52310118	153.2475794	91.03600119	131.930322	100.7730057	86.75269659	121.5120151
LOC101248405	6.687409276	4.857842695	10.97040453	4.891790099	9.891311971	5.408061836	9.604607682	10.9904555	9.415518139
LOC101248406	0	0.070129025	0	0	0	0.260240419	0	0.06221998	0.068822664
LOC101248407	73.34804323	51.84310771	55.23922844	87.40136738	89.81554638	89.91997818	73.44832575	82.9524021	91.12422916
LOC101248408	0.111071719	0.21784761	0.105045372	0	0.160326907	0.202101602	0.052740489	0	0.374131716
LOC101248409	37.53417423	34.14375899	35.97579049	36.79645846	39.34199375	34.20531972	36.84507531	35.35108683	43.48099282
LOC101248411	30.51286484	28.55932714	31.41612777	30.6491066	29.57957457	27.34974055	30.08328011	28.90217975	35.11552578
LOC101248412	1.15325838	0.56547829	1.971626118	2.956655486	2.817142857	0.484251289	2.021925574	1.775262092	2.049026137
LOC101248413	0.189038496	0	0	0.262516417	0	0	0.089761668	0.246713486	0
LOC101248414	0	0	0	0	0	0	0	0	0
LOC101248415	0	0	0	0.060733619	0.031564279	0.029841488	0	0	0.063134566
LOC101248416	0	0	0	0	0	0	0	0.143143663	0
LOC101248417	0	0	0	0	0	0	0	0	0
LOC101248419	0.878980562	1.055583175	0.800172466	0.691910218	0.918217079	0.829613217	0.937405756	1.09194384	1.090203813
LOC101248421	4.422076788	3.810158805	3.166831132	4.567225353	3.320669161	3.255700754	4.175219194	4.514686427	4.747778781
LOC101248422	8.443102387	10.09028726	9.917243312	8.158417341	13.7624493	7.278259982	10.44927396	8.6096474	9.286391576
LOC101248423	12.64265541	0.23392775	0.112799161	0.331259732	0.91819323	0.108509735	1.925537646	0.207545733	170.4558375
LOC101248424	3.57073361	5.160374191	5.885061946	4.13704333	4.501124475	3.970488065	4.22388029	4.087852678	4.883380944
LOC101248425	9.446049279	6.385437283	10.7549427	13.66953727	17.03263952	15.18520426	14.1961717	13.80417518	13.5038437
LOC101248426	29.74229986	35.77102194	34.00198257	30.0636772	34.52531823	28.79479892	31.30069527	29.23042519	26.21149476
